PID	AT	BT	CT	TAT	WT	RT
--	--	--	--	---	--	--
1	8	2	10	2	0	0
2	1	15	117	116	101	0
3	5	10	59	54	44	44
4	19	19	187	168	149	149
5	5	3	8	3	0	0
6	6	6	23	17	11	11
7	8	2	12	4	2	2
8	12	2	14	2	0	0
9	3	16	133	130	114	114
10	17	8	41	24	16	16
11	5	12	92	87	75	75
12	14	3	17	3	0	0
13	3	13	80	77	64	0
14	17	2	25	8	6	6
15	16	19	168	152	133	133
16	7	8	33	26	18	18
17	19	12	104	85	73	73
18	13	10	69	56	46	46
19	20	8	49	29	21	21
20	15	16	149	134	118	118
