PID	AT	BT	CT	TAT	WT	RT
--	--	--	--	---	--	--
1	8	2	86	78	76	76
2	1	15	16	15	0	0
3	5	10	55	50	40	40
4	19	19	167	148	129	129
5	5	3	58	53	50	50
6	6	6	76	70	64	64
7	8	2	88	80	78	78
8	12	2	90	78	76	76
9	3	16	32	29	13	13
10	17	8	146	129	121	121
11	5	12	70	65	53	53
12	14	3	103	89	86	86
13	3	13	45	42	29	29
14	17	2	148	131	129	129
15	16	19	138	122	103	103
16	7	8	84	77	69	69
17	19	12	179	160	148	148
18	13	10	100	87	77	77
19	20	8	187	167	159	159
20	15	16	119	104	88	88
